OBJECTID;ARRDT;BOIS;TYPE_VOIE;NOM_VOIE;STATUT;TYPOLOGIE;SENS_VELO;TYPOLOGIE_SIMPLE;SHAPE.LEN;geo_shape;geo_point_2d
2565;4;NON;BOULEVARD;HENRI IV;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.361282680375004, 48.85073253292008], [2.3615473609738693, 48.85080124273024]]}";48.8507668878, 2.36141502067
2570;4;NON;BOULEVARD;HENRI IV;VOIE 50;BANDE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3632636875776587, 48.851324619422115], [2.3640273702729124, 48.85155617208682], [2.3648800798008134, 48.85181530126168], [2.365344208012219, 48.85195571181105], [2.3655475755146123, 48.852017715420914]]}";48.8516711032, 2.36440565118
2591;4;NON;RUE DE LA;COUTELLERIE;VOIE 50;COULOIR BUS MARQUE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3509803005936094, 48.857503769024326], [2.3500490399508984, 48.85734898632533]]}";48.8574263777, 2.35051467027
2835;12;NON;QUAI DE LA;RAPEE;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3691876200152113, 48.84473047378751], [2.3692388257049317, 48.84468738164442]]}";48.8447089277, 2.36921322286
2848;12;NON;RUE;VAN GOGH;VOIE 30;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3707169782647277, 48.84352726758546], [2.370697995491551, 48.843540967926], [2.3706956080082247, 48.84354458796486], [2.3706938396085544, 48.843548547449736], [2.3706927371703768, 48.84355274142016], [2.3706923299178064, 48.84355705869978], [2.3706926286465464, 48.84356138484345], [2.3706936254377107, 48.84356560517107], [2.370695293867741, 48.843569607807595], [2.370697589708859, 48.84357328664865], [2.3707004521014854, 48.843576544173224], [2.370703805167542, 48.84357929402884], [2.3708719346725995, 48.843680919744024], [2.370882094398153, 48.84368517134766], [2.3708927666232342, 48.843687891599224], [2.3709037219101776, 48.84368902201719]]}";48.8436186343, 2.37077911632
2866;12;NON;PLACE DU;BATAILLON DU PACIFIQUE;VOIE 50;BANDE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3792606458812484, 48.84043768266396], [2.3792423248531733, 48.84044171344624], [2.3792235832142064, 48.84044252476882], [2.379204982394205, 48.8404400923275], [2.3791870796046144, 48.840434488989175], [2.379170411146481, 48.84042588260905], [2.379155476344869, 48.840414531002274]]}";48.8404351348, 2.37920607372
2869;12;NON;BOULEVARD DE;BERCY;VOIE 50;PISTE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3789086709857306, 48.840327585441266], [2.3781976725206397, 48.83994316105928], [2.377692211365029, 48.839668012575736], [2.3771186982816315, 48.839356397567684], [2.3765198499859035, 48.839031203069666], [2.376397749274236, 48.83896221345396], [2.3763953102365165, 48.83895989548878], [2.376393263279636, 48.83895722493919], [2.376391658672891, 48.83895426738872], [2.3763905358223165, 48.838951095469085], [2.376389922302949, 48.83894778707649], [2.3763898331816367, 48.838944423458656], [2.3763902706470255, 48.83894108721951], [2.3763912239558125, 48.83893786029064], [2.3763926696965796, 48.83893482191917], [2.376390991247731, 48.8389249806711], [2.3763877338929973, 48.83891554366976], [2.3763829844482123, 48.83890676243247], [2.3763768694967644, 48.83889887099896], [2.376369552015866, 48.838892079693686], [2.376361227032845, 48.838886569520206], [2.376352116427229, 48.83888248733704]]}";48.8396216443, 2.37760941733
2871;15;NON;BOULEVARD DE;GRENELLE;VOIE 50;BANDE CYCLABLE AVEC STATIONNEMENT RECONSTITUE;SENS CIRCULATION GENERALE;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.2911617223234018, 48.851807001502166], [2.2911702799578952, 48.85179836212829], [2.2912504532575904, 48.85171914548841]]}";48.8517630317, 2.29120604608
2874;15;NON;BOULEVARD DE;GRENELLE;VOIE 50;BANDE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.2907514219556946, 48.85222121675977], [2.2908163772201857, 48.85215564226673]]}";48.8521884295, 2.29078389959
2878;15;NON;RUE;DESAIX;VOIE 50;COULOIR BUS MARQUE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.291521327446398, 48.85166834791093], [2.2916504661666974, 48.8517269586575]]}";48.8516976533, 2.29158589681
2883;15;NON;BOULEVARD DE;GRENELLE;VOIE 50;PISTE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.291075387095217, 48.85245921938488], [2.2909984326465165, 48.85250640138603], [2.29088445185243, 48.85262209869225]]}";48.8525351565, 2.29097554715
2884;15;NON;BOULEVARD DE;GRENELLE;VOIE 50;PISTE CYCLABLE AVEC STATIONNEMENT RECONSTITUE;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.291177820655327, 48.852358425414856], [2.291075387095217, 48.85245921938488]]}";48.8524088224, 2.29112660388
2894;7;NON;PLACE DE LA;RESISTANCE;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3011958121546083, 48.862450565026535], [2.301230929318756, 48.86248727732924], [2.301236217870422, 48.86249288772884], [2.301242217181873, 48.86249773062307], [2.301248816820434, 48.86250171686608], [2.3012558953028743, 48.86250477308086], [2.3014963401946087, 48.86263160260747], [2.30151351272491, 48.862637097882406], [2.3015313463091998, 48.86263975440549], [2.30154937491191, 48.862639502755236]]}";48.8625596292, 2.30136517031
2985;9;NON;RUE DE;CHATEAUDUN;VOIE 50;PISTE CYCLABLE SUR TROTTOIR;CONTRESENS;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3419067845632213, 48.87582279144031], [2.3403535957328168, 48.87592119585786]]}";48.8758719936, 2.34113019015
2989;9;NON;BOULEVARD DE;CLICHY;VOIE 30;PISTE CYCLABLE SUR TERRE-PLEIN CENTRAL;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.327854425942058, 48.88354388713757], [2.3281896363519703, 48.88369513006616], [2.3285575771688682, 48.883924672893926], [2.3292754342878363, 48.884373602028845]]}";48.8839416931, 2.32857406009
2992;9;NON;RUE;SAINT LAZARE;VOIE 50;COULOIR BUS MARQUE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3285847305706557, 48.875754490020604], [2.3301843669245663, 48.875956795148895], [2.330944154571226, 48.87607495941955]]}";48.8759073823, 2.3297654776
2996;9;NON;RUE;LAFAYETTE;VOIE 50;COULOIR BUS PROTEGE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3456691057050323, 48.876290208998206], [2.3459267390512757, 48.87635728368633]]}";48.8763237463, 2.34579792238
3000;9;NON;RUE;LAFAYETTE;VOIE 30;COULOIR BUS MARQUE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3468204757942517, 48.87658805336698], [2.347167146437316, 48.87667538946313]]}";48.8766317214, 2.34699381112
3003;9;NON;BOULEVARD DE;CLICHY;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3292754342878363, 48.884373602028845], [2.3293038843082923, 48.88435338816244], [2.3293547679699462, 48.88437955678859], [2.329408242569825, 48.884399913880365], [2.3294636468197782, 48.88441420769389], [2.329520295568836, 48.88442226146617], [2.3295774882760583, 48.884423975601074], [2.329634517673701, 48.88441932890092], [2.3296906785135736, 48.88440837882865], [2.329761453211009, 48.884392713529415], [2.3297860290911454, 48.884398720198334]]}";48.8844017878, 2.32952525753
3010;9;NON;BOULEVARD DE;CLICHY;VOIE 30;CONTINUITE COULOIR BUS;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3284954612964492, 48.883773909720105], [2.3286949549066853, 48.883898917400266]]}";48.8838364136, 2.3285952081
3006;9;NON;PLACE DE;CLICHY;VOIE 50;CONTINUITE COULOIR BUS;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3271743299990013, 48.8832943422987], [2.3272191581624875, 48.88330011421204]]}";48.8832972283, 2.32719674408
7480;12;NON;AVENUE;DAUMESNIL;VOIE 50;CONTINUITE VELO;;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.411143101012311, 48.834114384848064], [2.411059199632544, 48.83399116074359], [2.4110217073883953, 48.83389055816572]]}";48.8340059185, 2.41107573862
7481;12;NON;RUE;BRAHMS;VOIE 30;SANS MARQUAGE;SENS CIRCULATION GENERALE;SANS MARQUAGE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3928188914465536, 48.84096037786639], [2.3928073583018272, 48.840961508736], [2.392795799280878, 48.840960683310016], [2.3927845438529607, 48.840957925115724], [2.392773912833953, 48.84095331277053], [2.392764209242072, 48.84094697774109], [2.3927557096608782, 48.84093910059612], [2.3927486563557605, 48.84092990585957], [2.392743250368588, 48.84091965561098], [2.392730706209437, 48.840418313317706]]}";48.8407126221, 2.39274313001
7483;12;NON;RUE;BRAHMS;VOIE 30;SANS MARQUAGE;SENS CIRCULATION GENERALE;SANS MARQUAGE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.392774586203426, 48.8403573218094], [2.3927959854872896, 48.84093409359246], [2.3927970738693896, 48.84093693542148], [2.392798628480456, 48.840939551478094], [2.392800604272666, 48.84094186595707], [2.3928029439936678, 48.84094381179195], [2.39280557984558, 48.84094533259847], [2.392808435449562, 48.84094638430836], [2.3928114280590367, 48.8409469364463], [2.3928144709574326, 48.840946973013054], [2.392817475970961, 48.84094649294902]]}";48.8406591813, 2.39278618346
7484;12;NON;AVENUE;DAUMESNIL;VOIE 50;CONTINUITE VELO;;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.392601089854096, 48.84025096528162], [2.392617563526397, 48.840282282264184], [2.3926406968244183, 48.840279654698904], [2.392663953607492, 48.84028073895796], [2.39268674209239, 48.84028550745171], [2.392708482412022, 48.84029383884289], [2.3927286213705092, 48.84030552113409], [2.3927466465195995, 48.84032025706219], [2.392762099198226, 48.84033767166238], [2.392774586203426, 48.8403573218094]]}";48.8402970866, 2.39268902357
7486;12;NON;AVENUE;COURTELINE;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.41446092168754, 48.84403613364748], [2.414240298337268, 48.84405578605152]]}";48.8440459598, 2.41435061001
7492;12;NON;AVENUE;COURTELINE;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.412781941002847, 48.843994256076954], [2.413196690291418, 48.843942418142255]]}";48.8439683371, 2.41298931565
7498;12;NON;AVENUE DE;SAINT-MANDE;VOIE 50;PISTE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4099874418741143, 48.84434700277897], [2.4061797826666913, 48.84467563750231]]}";48.8445113201, 2.40808361227
7499;12;NON;COURS DE;VINCENNES;VOIE 50;COULOIR BUS PROTEGE;SENS CIRCULATION GENERALE;COULOIR BUS OUVERT AUX VELOS;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3994271129940525, 48.8479734738], [2.4059309820824666, 48.847391133038585]]}";48.8476823034, 2.40267904754
7508;12;NON;AVENUE DE;SAINT-MANDE;VOIE 50;PISTE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4048356491400775, 48.844792662404124], [2.4027530568695834, 48.844973949184244]]}";48.8448833058, 2.403794353
7509;12;NON;AVENUE DE;SAINT-MANDE;VOIE 50;PISTE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4053832831467874, 48.84474498538613], [2.4048356491400775, 48.844792662404124]]}";48.8447688239, 2.40510946614
7510;12;NON;AVENUE DE;SAINT-MANDE;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4061797826666913, 48.84467563750231], [2.4053832831467874, 48.84474498538613]]}";48.8447103114, 2.40578153291
7670;12;NON;AVENUE DE LA;PORTE DE VINCENNES;VOIE 50;CONTINUITE VELO;;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4155836079790993, 48.84683222762415], [2.4155148817840346, 48.84647658362336]]}";48.8466544056, 2.41554924488
7685;12;NON;AVENUE;COURTELINE;VOIE 50;CONTINUITE VELO;CONTRESENS;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4147367202369026, 48.84379667039415], [2.414511463041012, 48.8438159210792], [2.4144485111821767, 48.84380767701569]]}";48.8438075024, 2.41459249589
7687;12;NON;PLACE;EDOUARD RENARD;VOIE 50;PISTE CYCLABLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4068286732024493, 48.83518208984991], [2.406844956489766, 48.835176250354976], [2.407876711955859, 48.83479872976554]]}";48.8349904613, 2.40735271125
7692;12;OUI;AVENUE;DAUMESNIL;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.412793812746721, 48.83351346823732], [2.412895675361478, 48.833596116180765]]}";48.8335547922, 2.41284474405
7695;12;OUI;AVENUE;DAUMESNIL;VOIE 50;CONTINUITE VELO;;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.408275488884019, 48.834834866756154], [2.40839513129971, 48.83498132942313]]}";48.8349080981, 2.40833531009
7698;12;OUI;AVENUE;DAUMESNIL;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;CONTRESENS;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.410220317620072, 48.834091417147086], [2.409691163851561, 48.834309845225846], [2.409263403815062, 48.834487787601184], [2.4082861625750707, 48.83481847626968], [2.408284129153512, 48.834818788632546], [2.4082821767392204, 48.83481943705542], [2.4082803604574305, 48.83482040323048], [2.4082787315897587, 48.834821659878365], [2.408277336126297, 48.83482317151837], [2.4082762134671114, 48.83482489547027], [2.408275395309804, 48.83482678305932], [2.4082749047545504, 48.834828780990584], [2.408274755651881, 48.83483083285368], [2.4082749522116202, 48.83483288071551], [2.408275488884022, 48.834834866755926]]}";48.8344746803, 2.40924858751
7704;12;NON;PLACE DU;CARDINAL LAVIGERIE;VOIE 30;CONTINUITE VELO;;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.403928064716153, 48.83238342920357], [2.40402658700952, 48.832319677526165]]}";48.8323515534, 2.40397732586
7708;12;OUI;AVENUE DE LA;PORTE DE CHARENTON;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3996319936142707, 48.830733684163384], [2.3994859389913987, 48.8308278360284]]}";48.8307807601, 2.3995589663
7714;12;NON;RUE DE;CHARENTON;VOIE 30;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3977228251227807, 48.8319113983683], [2.3977076497156697, 48.831919013687006], [2.3976337162080026, 48.83196518151228]]}";48.8319377133, 2.39767794689
7716;12;OUI;AVENUE DE LA;PORTE DE CHARENTON;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;CONTRESENS;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.399632097394327, 48.83072271679439], [2.4009766854897454, 48.82985871302027], [2.4009941310423297, 48.82984982268074], [2.4010127498209255, 48.829843762439374], [2.401032086006789, 48.82984068066097]]}";48.8302750121, 2.40032918398
7754;12;OUI;AVENUE DE;GRAVELLE;VOIE 50;CONTINUITE VELO;CONTRESENS;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4430927354052314, 48.81876334286355], [2.4431515612509282, 48.81869587831046]]}";48.8187296106, 2.44312214833
7759;12;OUI;AVENUE DE;GRAVELLE;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4512874285814927, 48.818502610398994], [2.4512829533158413, 48.818503481442384], [2.4511405362947873, 48.81853478952929], [2.4509972248458474, 48.81856170853362], [2.4507757222742055, 48.81859801812816], [2.4505533021336716, 48.818628201848675], [2.450315488348036, 48.81865441699444], [2.450077111078928, 48.818674884238476], [2.449838309231311, 48.818689591654305], [2.4493527383031326, 48.81870734511371], [2.448982146924429, 48.818715804001485]]}";48.8186486643, 2.45013890049
7763;12;OUI;AVENUE;DAUMESNIL;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4199430331164793, 48.83490426174343], [2.420244446739398, 48.835001788902524], [2.4205443329876073, 48.83510391606334], [2.4208426216630805, 48.83521061931973], [2.421520919688579, 48.83543952305911], [2.422197693183595, 48.83567289565762], [2.4224310292624773, 48.835764867432225], [2.4226624981078095, 48.835861442308214], [2.4228920089229913, 48.83596258240287], [2.423119471679484, 48.8360682480427], [2.4234222271408505, 48.836219686116344], [2.4237227311383345, 48.83637554408705], [2.4240209191506583, 48.836535788490515], [2.4243167271538097, 48.83670038492063], [2.4246100916347877, 48.836869298036866], [2.4248247909344127, 48.83699833654272], [2.425036173314653, 48.837132739721916], [2.425244104758235, 48.8372724223623], [2.4254484534357936, 48.83741729590451], [2.4256193557283603, 48.83753267991433], [2.425793317680688, 48.83764339713282], [2.425970211891094, 48.837749366475805], [2.426149908810443, 48.837850510336246], [2.426332276837027, 48.83794675464105], [2.4265520422542886, 48.83805751143341], [2.4267746420458263, 48.83816245541125], [2.426999922495042, 48.838261514105355], [2.4272277280342043, 48.83835461911062], [2.427529740785795, 48.838475304833786], [2.427833590048236, 48.83859128919313], [2.428139202641545, 48.838702544254645], [2.4284465049610526, 48.8388090432233], [2.428851870995871, 48.8389314390048], [2.4292585580538586, 48.83904937113096], [2.4296665169854514, 48.83916282534925], [2.430075698487373, 48.839271787948334], [2.431952100210587, 48.839761780119524], [2.431995454003379, 48.839773285064375], [2.4320374007784205, 48.839789171636355], [2.4320774989844263, 48.839809272606]]}";48.8375045459, 2.42595600574
7992;20;NON;BOULEVARD DE;CHARONNE;VOIE 50;BANDE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.398093716209644, 48.85194818335491], [2.398044751190788, 48.85201053908827]]}";48.8519793612, 2.3980692337
7772;12;OUI;AVENUE DES;MINIMES;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.43846910400104, 48.840291392073325], [2.4385593319811045, 48.8402835846846]]}";48.8402874884, 2.43851421799
7773;12;OUI;ESPLANADE;SAINT-LOUIS;AIRE PIETONNE;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4367829510923893, 48.840114899937824], [2.4368873972367964, 48.840339900540364], [2.4368960679802, 48.84035537047686], [2.4369070536752453, 48.840369292230726], [2.43692008340482, 48.840381322479], [2.4369348358440823, 48.84039116454495], [2.4369509471846222, 48.84039857571438]]}";48.8402658138, 2.43685631108
7775;12;OUI;ESPLANADE;SAINT-LOUIS;AIRE PIETONNE;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.436182339132188, 48.839551822785424], [2.4362003630624764, 48.83955872965565], [2.4362170064375888, 48.839568505390105], [2.4362318164462904, 48.83958088402337], [2.4362443901571877, 48.83959552877375], [2.436667189273423, 48.84003416883638]]}";48.8397873597, 2.43642877841
7777;12;OUI;ESPLANADE;SAINT-LOUIS;AIRE PIETONNE;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4342378392391733, 48.84033403951088], [2.434260385424728, 48.84032535737812], [2.4342814990361887, 48.84031361321688], [2.434300766696283, 48.84029903696267], [2.4343178111690826, 48.840281913999746], [2.434652037911886, 48.83969025128769], [2.4346827499224384, 48.83966419323164]]}";48.8400093638, 2.43446968413
7778;12;OUI;ESPLANADE;SAINT-LOUIS;AIRE PIETONNE;CONTINUITE VELO;;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.4346827499224384, 48.83966419323164], [2.434718810559803, 48.839642374039514], [2.434757301689594, 48.839625201979665], [2.434797627388157, 48.83961294291169]]}";48.8396353814, 2.43473876697
